state,action,Q,N,best_action
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 3, 5)",-0.1900000000000432,20,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 2, 4)",-0.988027484817382,23,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(1, 0, 1)",-0.19000000000000272,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 5, 3)",-0.10000000000000009,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(6, 0, 3)",0.6750624972823525,5,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(6, 4, 6)",-0.10000000000000009,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(1, 2, 3)",-0.19000000000000017,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(3, 5, 4)",-0.6861894039100099,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 5, 5)",-0.2710000000000039,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 2, 2)",-0.18999999999999934,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-1, 0, 1)",-0.9999843157595142,38,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(3, 0, 4)",-0.9989388833882309,41,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 6, 2)",-0.2710000000000039,4,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 0, 5)",-0.2710000000000039,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 0, 5)",-0.9202335569231408,7,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-1, 3, 1)",-0.19000000000000017,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(6, 6, 1)",-0.10000000000000009,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 3, 5)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 3, 0)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 5, 2)",-0.8784233454094433,12,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(3, 5, 2)",-0.6513215599000094,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 5, 5)",-0.996242897873807,9,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-3, 3, 3)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-5, 6, 4)",-0.34390000000007825,7,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-3, 4, 2)",-0.270999999999999,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 6, 2)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 0, 3)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(4, 1, 4)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 2, 3)",-0.2709999999999846,24,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(1, 1, 0)",-0.19000000000000272,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 4, 5)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 3, 1)",-0.34389999999999876,4,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 4, 1)",-0.19000000000000272,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(1, 3, 0)",-0.9999999999926247,5,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(6, 1, 2)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 4, 3)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(6, 4, 1)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(3, 0, 0)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 1, 5)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 6, 4)",-1.000000000000016,7,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 5, 5)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 0, 6)",-0.2710000000000039,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 0, 1)",-0.9202335569231408,6,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 1, 2)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 1, 0)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 4, 1)",-0.18999999999999934,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(1, 0, 2)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 5, 1)",-0.19000000000000272,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(4, 6, 2)",-0.9892247363356381,36,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(4, 3, 0)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 2, 1)",-0.18999999999999934,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 4, 3)",-0.19000000000000272,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-3, 5, 4)",-0.34389999999999876,4,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 4, 2)",-0.999226445989798,35,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(6, 5, 5)",-0.9958254420820142,12,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(4, 1, 1)",-0.19000000000000272,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 3, 2)",0.3500670676132986,4,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-1, 0, 2)",-1.000000000000226,16,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(3, 3, 4)",-0.9866972053526529,9,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-5, 4, 0)",-0.19000000000000272,2,"(-5, 2, 1)"
