state,action,Q,N,best_action
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-5, 4, 4)",-0.9999998122201367,18,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-4, 3, 0)",2.412969364109511,39,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(4, 1, 1)",-0.9999999975019488,28,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(3, 3, 4)",-0.9999999979766218,2,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(4, 6, 4)",-0.9999999998388116,15,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-4, 2, 1)",-0.9999999998943225,2,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(0, 4, 4)",-0.9999999999144445,1,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(6, 6, 0)",-0.999999999994685,24,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(2, 0, 4)",-1.0000000000002123,50,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(4, 3, 1)",-0.9999999999998296,3,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(2, 0, 2)",-0.928210201231026,25,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(1, 0, 6)",-1.000000000000226,47,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-2, 5, 4)",-0.10000000000002274,1,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(2, 4, 4)",-1.000000000000226,6,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(5, 5, 2)",-0.743443031823315,45,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(2, 6, 4)",1.2212153641763646,16,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(1, 4, 0)",-0.4095100000000932,5,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-3, 3, 5)",-1.000000000000226,12,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(4, 1, 0)",-0.5695327900001295,8,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-2, 6, 3)",-0.1900000000000432,2,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(4, 6, 5)",-1.000000000000226,10,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(4, 5, 4)",1.2212153641763646,15,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(0, 3, 3)",-1.000000000000226,25,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(2, 3, 5)",-0.833228183003524,17,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(0, 5, 2)",-1.000000000000226,1,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(3, 1, 2)",-1.000000000000226,30,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(2, 2, 3)",-1.000000000000226,18,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-5, 4, 6)",-1.000000000000226,31,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-5, 2, 4)",-0.9572135282542081,15,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-2, 5, 3)",-0.9902118276600903,16,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(5, 4, 2)",-1.000000000000226,21,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-4, 6, 2)",-1.000000000000226,8,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(1, 0, 1)",-1.000000000000226,2,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(0, 1, 0)",-1.000000000000226,19,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(1, 2, 1)",-1.000000000000226,38,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-4, 3, 2)",-1.000000000000226,6,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-5, 0, 4)",-1.000000000000226,6,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-5, 4, 5)",-1.000000000000226,52,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-5, 3, 1)",-1.000000000000226,21,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(5, 1, 6)",-1.000000000000226,10,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(2, 6, 5)",-1.000000000000226,6,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-4, 2, 4)",-1.000000000000226,10,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(1, 0, 2)",-0.5217031000001187,7,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(6, 3, 3)",-1.000000000000226,4,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(3, 6, 3)",-0.27100000000006164,3,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-4, 1, 5)",-1.000000000000226,20,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-4, 5, 1)",-1.000000000000226,17,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(2, 5, 4)",-1.000000000000226,37,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(1, 1, 4)",-1.000000000000226,29,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.5, 1.0))","(2, 0, 2)",-0.1899999999999892,1,"(2, 0, 2)"
"((0.0, 0.5), (-0.2, 0.2), (0.0, 0.5))","(5, 2, 1)",-0.1900000000000432,2,"(5, 2, 1)"
"((0.5, 1.0), (-0.2, 0.2), (0.0, 0.5))","(4, 6, 6)",-0.941307994861655,18,"(-4, 4, 4)"
"((0.5, 1.0), (-0.2, 0.2), (0.0, 0.5))","(-4, 4, 4)",-0.9747350162989206,5,"(-4, 4, 4)"
